City_ID,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
0,Mataura,-46.1927,168.8643,59.49,76,100,5.93,NZ,1669755426
1,Isangel,-19.55,169.2667,84.31,79,91,3.44,VU,1669755426
2,Punta Arenas,-53.15,-70.9167,48.31,57,75,27.63,CL,1669755426
3,Puerto Ayora,-0.7393,-90.3518,78.76,86,58,5.99,EC,1669755426
4,Batemans Bay,-35.7167,150.1833,62.1,67,40,3.67,AU,1669755426
5,Cidreira,-30.1811,-50.2056,71.82,85,15,15.19,BR,1669755426
6,Ushuaia,-54.8,-68.3,51.42,61,75,23.02,AR,1669755216
7,New Norfolk,-42.7826,147.0587,58.71,65,80,8.03,AU,1669755427
8,Aleppo Governorate,36.25,37.5,52.77,90,100,14.07,SY,1669755427
9,Bluff,-46.6,168.3333,59.81,74,100,11.1,NZ,1669755427
10,Butaritari,3.0707,172.7902,80.83,76,40,10.13,KI,1669755427
11,Yumen,40.2833,97.2,1.81,76,100,6.24,CN,1669755427
12,Broome,42.2506,-75.833,44.02,70,98,3.0,US,1669755428
13,Hobyo,5.3505,48.5268,79.59,72,29,15.88,SO,1669755428
14,Ukiah,39.1502,-123.2078,57.36,52,34,2.42,US,1669755428
15,Vaini,-21.2,-175.2,80.76,74,20,13.8,TO,1669755428
16,Wanxian,30.8039,108.3897,45.63,81,100,10.94,CN,1669755429
17,Arraial do Cabo,-22.9661,-42.0278,75.06,88,75,17.27,BR,1669755429
18,Yeppoon,-23.1333,150.7333,71.38,90,100,16.28,AU,1669755429
19,Ilulissat,69.2167,-51.1,9.43,81,19,4.59,GL,1669755429
20,Zhob,31.3411,69.4481,53.62,29,1,4.21,PK,1669755430
21,Laguna,38.421,-121.4238,59.31,41,0,1.01,US,1669755430
22,Rikitea,-23.1203,-134.9692,72.3,75,89,16.91,PF,1669755430
23,Moerai,-22.4333,-151.3333,74.59,77,48,15.57,PF,1669755430
24,Aswān,24.0934,32.907,70.9,35,0,0.0,EG,1669755431
25,Saskylakh,71.9167,114.0833,-29.25,100,88,6.82,RU,1669755431
26,Esperance,-33.8667,121.9,61.86,69,6,17.31,AU,1669755431
27,Berdigestyakh,62.0989,126.6992,-27.92,96,100,6.91,RU,1669755431
28,Vila Velha,-20.3297,-40.2925,75.15,94,100,8.05,BR,1669755220
29,Olafsvik,64.8945,-23.7142,42.13,89,100,22.06,IS,1669755431
30,Albany,42.6001,-73.9662,37.67,66,95,4.5,US,1669755432
31,Avarua,-21.2078,-159.775,80.65,74,20,14.97,CK,1669755432
32,Cardston,49.2,-113.3019,8.69,56,98,3.44,CA,1669755432
33,George Town,5.4112,100.3354,79.23,91,20,2.3,MY,1669755432
34,Kahului,20.8947,-156.47,80.83,86,87,4.0,US,1669755432
35,Inhambane,-23.865,35.3833,69.73,68,27,9.15,MZ,1669755433
36,Adeje,28.1227,-16.726,68.88,68,40,12.66,ES,1669755290
37,Monroe,43.1501,-77.6831,45.5,68,100,5.01,US,1669755433
38,Ribeira Grande,38.5167,-28.7,63.0,88,75,4.61,PT,1669755433
39,Mahébourg,-20.4081,57.7,73.69,78,40,3.44,MU,1669755433
40,Hermanus,-34.4187,19.2345,62.8,91,16,4.52,ZA,1669755433
41,Vao,-22.6667,167.4833,78.31,87,50,11.1,NC,1669755434
42,Taoudenni,22.6783,-3.9836,67.51,18,25,11.21,ML,1669755434
43,Diego de Almagro,-26.3667,-70.05,73.6,34,0,12.44,CL,1669755434
44,Kapaa,22.0752,-159.319,82.38,87,22,1.01,US,1669755434
45,Torbay,47.6666,-52.7314,34.75,74,75,18.41,CA,1669755434
46,Clyde River,70.4692,-68.5914,-23.57,76,0,2.3,CA,1669755434
47,Axum,14.1245,38.7244,61.29,39,88,6.73,ET,1669755435
